2371,2799
2138,2873
2603,2873
2004,3004
2739,3009
1874,3134
2877,3147
1743,3265
2999,3268
1613,3396
3137,3407
2855,3515
1483,3526
3258,3526
2625,3646
3085,3646
1352,3656
3396,3664
2511,3764
3203,3765
3516,3786
1222,3787
2371,3901
4140,3904
4525,3904
4907,3904
1001,3907
2232,4039
3438,4134
2094,4177
3297,4274
4282,4314
1956,4315
3159,4413
1818,4453
3018,4552
1680,4591
4268,4593
2880,4690
4172,4722
1542,4729
2743,4827
4054,4839
1320,4850
3936,4957
2604,4965
3821,5072
2465,5103
3698,5195
2323,5245
3580,5313
2184,5383
3465,5428
2046,5521
3343,5549
1907,5659
1686,5777
